date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-24 07:00:00,34,21,0.0,11.0,7,84,08:00 PM,08:30 AM,07:09 AM,06:08 PM,15,25,25,23,6,5,44,0.0,1015,23,10,85,5,mumbai
2018-12-24 18:00:00,34,21,0.0,11.0,7,84,08:00 PM,08:30 AM,07:09 AM,06:08 PM,16,27,27,27,16,10,51,0.0,1014,27,10,332,6,mumbai
2018-12-25 05:00:00,33,22,0.0,11.0,7,77,09:05 PM,09:29 AM,07:09 AM,06:08 PM,15,25,25,22,6,6,49,0.0,1014,22,10,24,4,mumbai
2018-12-25 16:00:00,33,22,0.0,11.0,7,77,09:05 PM,09:29 AM,07:09 AM,06:08 PM,14,30,30,30,17,4,43,0.0,1012,30,10,309,8,mumbai
2018-12-26 03:00:00,30,20,0.0,11.0,6,69,10:08 PM,10:23 AM,07:09 AM,06:09 PM,12,20,20,20,12,7,46,0.0,1013,20,10,355,5,mumbai
2018-12-26 14:00:00,30,20,0.0,11.0,6,69,10:08 PM,10:23 AM,07:09 AM,06:09 PM,7,27,27,29,24,5,30,0.0,1013,29,10,329,14,mumbai
2018-12-27 01:00:00,30,17,0.0,11.0,6,62,11:09 PM,11:13 AM,07:10 AM,06:09 PM,2,19,19,19,16,0,32,0.0,1014,19,10,122,8,mumbai
2018-12-27 12:00:00,30,17,0.0,11.0,6,62,11:09 PM,11:13 AM,07:10 AM,06:09 PM,5,27,27,29,20,0,18,0.0,1013,29,10,16,9,mumbai
2018-12-27 23:00:00,30,17,0.0,11.0,6,62,11:09 PM,11:13 AM,07:10 AM,06:09 PM,1,20,20,20,16,0,28,0.0,1014,20,10,48,7,mumbai
2018-12-28 10:00:00,31,17,0.0,11.0,6,55,No moonrise,11:58 AM,07:10 AM,06:10 PM,7,26,26,27,17,0,22,0.0,1014,27,10,85,10,mumbai
2018-12-28 21:00:00,31,17,0.0,11.0,6,55,No moonrise,11:58 AM,07:10 AM,06:10 PM,1,23,23,22,11,0,25,0.0,1015,22,10,86,6,mumbai
2018-12-29 08:00:00,31,17,0.0,11.0,6,48,12:08 AM,12:41 PM,07:11 AM,06:11 PM,7,21,24,21,16,0,26,0.0,1016,21,10,84,8,mumbai
2018-12-29 19:00:00,31,17,0.0,11.0,6,48,12:08 AM,12:41 PM,07:11 AM,06:11 PM,7,24,24,24,13,0,35,0.0,1016,24,10,236,7,mumbai
2018-12-30 06:00:00,32,17,0.0,11.0,6,40,01:04 AM,01:22 PM,07:11 AM,06:11 PM,5,18,18,18,12,0,28,0.0,1019,18,10,83,9,mumbai
2018-12-30 17:00:00,32,17,0.0,11.0,6,40,01:04 AM,01:22 PM,07:11 AM,06:11 PM,7,27,27,28,10,0,33,0.0,1017,28,10,342,6,mumbai
2018-12-31 04:00:00,32,18,0.0,11.0,6,36,01:59 AM,02:02 PM,07:12 AM,06:12 PM,5,18,18,18,11,0,26,0.0,1018,18,10,80,7,mumbai
